Blink_ID,Start_Frame,End_Frame,Duration,Amplitude,Velocity,Frequency
1,4,7,4,0.15097850561141968,0.15097850561141968,12.5
2,13,23,11,0.10437989234924316,0.011597765816582574,8.333333333333332
3,39,449,411,0.23912525177001953,0.0007944360523920915,0.6666666666666667
4,468,484,17,0.0856635570526123,0.021415889263153076,0.8247422680412372
5,492,653,162,0.3329388499259949,0.005137661441427762,0.764525993883792
6,657,667,11,0.30119234323501587,0.15059617161750793,0.8982035928143712
7,699,1289,591,0.39807766675949097,0.0008663105379257883,0.5426356589147286
8,1302,2653,1352,0.3510279059410095,0.00025605364524816616,0.30143180105501133
9,2670,3763,1094,0.05741989612579346,8.100912861378267e-05,0.2391073326248672
10,3781,6070,2290,0.25760287046432495,0.00015774823665910898,0.1647175094712568
11,6079,6781,703,0.42908981442451477,6.468655522336664e-05,0.16219404305514598
