Blink_ID,Start_Frame,End_Frame,Duration,Amplitude,Velocity,Frequency
1,14,68,55,0.26730191707611084,0.0028056664900346236,1.4492753623188406
2,83,137,55,0.3046931028366089,0.007085886112479276,1.4492753623188406
3,143,226,84,0.09799164533615112,0.0015311194583773613,1.3215859030837005
4,234,271,38,0.01229768991470337,0.0030180811882019043,1.4705882352941175
5,295,341,47,0.2075502872467041,0.007687047675803855,1.461988304093567
6,406,408,3,0.025048434734344482,0.025048434734344482,1.466992665036675
7,422,448,27,0.05253952741622925,0.006052752335866292,1.55902004454343
8,484,706,223,0.31981486082077026,0.0017572245100042321,1.1315417256011315
9,718,722,5,0.09695625305175781,0.048478126525878906,1.2448132780082988
10,726,735,10,0.02131199836730957,0.006552000840504964,1.358695652173913
11,757,762,6,0.05898237228393555,0.05898237228393555,1.4416775884665793
12,770,799,30,0.02545344829559326,0.0014972616644466624,1.5
13,814,819,6,0.337816059589386,0.11260535319646199,1.5853658536585367
14,824,829,6,0.24878787994384766,0.08292929331461589,1.6867469879518073
15,848,884,37,0.11679762601852417,0.0036499258130788803,1.694915254237288
16,893,933,41,0.08034849166870117,0.013391415278116861,1.7130620985010707
17,954,996,43,0.06757533550262451,0.003071606159210205,1.7051153460381143
18,1138,1202,65,0.01600515842437744,0.0005162954330444336,1.4962593516209477
19,1228,1250,23,0.045488059520721436,0.004135278138247403,1.518784972022382
20,1271,1303,33,0.015229523181915283,0.015229523181915283,1.5337423312883436
21,1332,1394,63,0.10164475440979004,0.10164475440979004,1.5053763440860215
22,1422,1436,15,0.05811256170272827,0.019123435020446777,1.5309672929714684
23,1463,1474,12,0.15275752544403076,0.012643933296203613,1.5593220338983051
24,1479,1514,36,0.13808947801589966,0.00403519868850708,1.5841584158415842
25,1541,1548,8,0.2234010100364685,0.06047513087590536,1.6139444803098775
26,1566,1570,5,0.024694085121154785,0.024694085121154785,1.6549968173138128
27,1601,1613,13,0.3548184037208557,0.05340510606765747,1.6728624535315983
28,1645,1654,10,0.015503764152526855,0.004070639610290527,1.6918429003021147
29,1684,1693,10,0.1423625349998474,0.03063097596168518,1.7119244391971666
30,1715,1740,26,0.42859551310539246,0.01863458752632141,1.7231476163124642
31,1744,1746,3,0.026259958744049072,0.0,1.7744705208929592
32,1769,1799,31,0.4131194055080414,0.014754264482430049,1.7777777777777777
33,1808,1818,11,0.3659505844116211,0.005419874191284179,1.8141836173721826
34,1853,1857,5,0.07310742139816284,0.03655371069908142,1.829924650161464
35,1870,1880,11,0.051062703132629395,0.018940508365631104,1.8607123870281765
36,1926,1929,4,0.024717986583709717,0.012358993291854858,1.865284974093264
37,1969,2008,40,0.055248916149139404,0.019780397415161133,1.841712294673967
38,2066,2148,83,0.019716203212738037,0.0013144135475158692,1.7682643089809214
39,2214,2228,15,0.019256412982940674,0.001552712917327881,1.7496635262449527
40,2233,2237,5,0.011974930763244629,0.0059874653816223145,1.7873100983020553
41,2253,2299,47,0.2448195219039917,0.008160650730133057,1.7826086956521738
42,2323,2328,6,0.06984603404998779,0.02328201134999593,1.8033490768570204
43,2332,2449,118,0.33279669284820557,0.00041710226624100296,1.7551020408163265
44,2471,2497,27,0.14945292472839355,0.012454410394032797,1.7614091273018415
45,2504,2531,28,0.18958932161331177,0.008617696436968717,1.7772511848341233
46,2562,2634,73,0.02832627296447754,0.00014081789601233698,1.7457305502846299
47,2669,2705,37,0.11257058382034302,0.007035661488771439,1.736881005173688
48,2774,2778,5,0.061117470264434814,0.02037249008814494,1.7272400143936668
49,2796,2836,41,0.42515259981155396,0.0008024759590625763,1.7271765949947127
50,2863,2870,8,0.28469640016555786,0.14234820008277893,1.7415534656913967
51,2874,2929,56,0.042664289474487305,0.0017065715789794922,1.74061433447099
52,2968,3074,107,0.06662607192993164,0.06662607192993164,1.6910569105691058
53,3108,3116,9,0.35900527238845825,0.04487565904855728,1.700352903432788
54,3124,3138,15,0.18495821952819824,0.018495821952819826,1.7202930869703728
55,3150,3159,10,0.1323847770690918,0.0220641295115153,1.740506329113924
56,3170,3182,13,0.1874992847442627,0.023437410593032837,1.7593465284322967
57,3202,3204,3,0.2823948264122009,0.14119741320610046,1.7784711388455536
58,3228,3232,5,0.02446216344833374,0.01223108172416687,1.7939993813795236
