Blink_ID,Start_Frame,End_Frame,Duration,Amplitude,Velocity,Frequency
1,122,223,102,0.43466368317604065,0.007010704567355495,0.4464285714285714
2,231,236,6,0.34242522716522217,0.08611908555030823,0.8438818565400843
3,405,739,335,0.07788217067718506,9.800377604249236e-05,0.40540540540540543
4,770,773,4,0.2889350652694702,0.1444675326347351,0.516795865633075
5,1032,1218,187,0.08316737413406372,0.00016304798897980266,0.41017227235438886
6,1244,1246,3,0.04413485527038574,0.04413485527038574,0.48115477145148355
7,1325,1327,3,0.17994672060012817,0.10997879505157471,0.5271084337349398
8,1370,1372,3,0.0348091721534729,0.0,0.5826656955571741
9,1389,1391,3,0.005845785140991211,0.0029228925704956055,0.646551724137931
10,1727,1730,4,0.2591358423233032,0.08637861410776775,0.5777007510109763
11,1787,1790,4,0.12547463178634644,0.017571985721588135,0.6141820212171971
12,1842,1844,3,0.18715381622314453,0.17982280254364014,0.6504065040650406
13,1992,2260,269,0.32782357931137085,0.0002408829473313831,0.574966828836798
14,2288,2290,3,0.18069767951965332,0.028782427310943604,0.6110868616324749
15,3033,3203,171,0.24276435375213623,0.00021369448790313505,0.46816479400749067
16,3227,3230,4,0.08748197555541992,0.04374098777770996,0.49520272361497986
17,3373,3375,3,0.12240451574325562,0.12240451574325562,0.5035545023696683
18,3444,3676,233,0.3590640425682068,0.0003638179620839484,0.4895295077508839
19,3788,4043,256,0.16009557247161865,0.000569199169031247,0.46983184965380814
20,4123,4540,418,0.43751662969589233,0.001067113730965591,0.44043162299053074
21,4597,4599,3,0.3816714584827423,0.0,0.4565217391304348
22,4859,5036,178,0.24303174018859863,0.00022063014053163075,0.43676791741115745
23,5135,5231,97,0.1323736310005188,0.0015573368353002212,0.4396024464831804
24,5254,5258,5,0.12272363901138306,0.06136181950569153,0.4563605248146035
25,5379,5381,3,0.022928893566131592,0.011464446783065796,0.4645113340765515
26,5471,5521,51,0.14061033725738525,0.008788146078586578,0.4708438971387179
27,5545,5548,4,0.027244627475738525,0.013622313737869263,0.4865741575058569
28,5640,5759,120,0.29251521825790405,0.0012693896013147691,0.4861111111111111
29,5801,5803,3,0.06499892473220825,0.032499462366104126,0.49965541006202613
30,5897,5968,72,0.24303174018859863,0.00031720246038129254,0.5025967498743509
