Blink_ID,Start_Frame,End_Frame,Duration,Amplitude,Velocity,Frequency
1,218,222,5,0.07551300525665283,0.07551300525665283,0.4484304932735426
2,347,355,9,0.05472451448440552,0.009627342224121094,0.5617977528089888
3,408,415,8,0.1566508412361145,0.07832542061805725,0.7211538461538461
4,512,629,118,0.27846741676330566,0.0026283024572858623,0.6349206349206349
5,765,792,28,0.34172260761260986,0.17086130380630493,0.6305170239596469
6,907,1023,117,0.1421613097190857,0.0007290109782151773,0.5859375
7,1262,1265,4,0.08694213628768921,0.08694213628768921,0.5529225908372828
8,1391,1555,165,0.07383173704147339,0.0004199987692798642,0.5141388174807198
9,1640,1644,5,0.0821884274482727,0.002884944279988607,0.547112462006079
10,1824,1828,5,0.03049391508102417,0.03049391508102417,0.5467468562055768
11,2180,2404,225,0.125840425491333,0.0003661690633508224,0.4573804573804574
12,2504,2557,54,0.35739022493362427,0.005247597510998066,0.46911649726348714
13,3324,3329,6,0.07306277751922607,0.02435425917307536,0.39039039039039036
14,3636,3707,72,0.13569849729537964,0.03392462432384491,0.37756202804746497
15,3779,3967,189,0.41093361377716064,0.002887988090515137,0.3780241935483871
16,4114,4143,30,0.163421630859375,0.04085540771484375,0.3861003861003861
17,4259,4359,101,0.07707667350769043,0.0009374722838401794,0.38990825688073394
18,4768,4781,14,0.05048114061355591,0.05048114061355591,0.37641154328732745
19,5015,5018,4,0.010214567184448242,0.005107283592224121,0.3785614664275752
20,5091,5094,4,0.09897381067276001,0.09897381067276001,0.39254170755642787
21,5262,5406,145,0.18282192945480347,0.0025749567528845557,0.3883854262992417
22,5555,5567,13,0.3001102805137634,0.27666139602661133,0.3951149425287357
23,5681,5692,12,0.04088103771209717,0.020440518856048584,0.4040049183207448
24,5750,5767,18,0.021219193935394287,0.021219193935394287,0.4160887656033287
25,6008,6011,4,0.03013390302658081,0.015066951513290405,0.41583499667332
26,6154,6158,5,0.019992351531982422,0.019992351531982422,0.42214645234616005
27,6364,6369,6,0.13051748275756836,0.06525874137878418,0.423861852433281
28,6729,6873,145,0.3426625728607178,0.0032634530748639787,0.40733197556008144
29,6976,7211,236,0.3804370164871216,0.003019341400691441,0.4021075984470327
30,7315,7521,207,0.22014379501342773,0.0006096881848794443,0.3988300983780909
31,7658,7827,170,0.3285757899284363,0.005569081185227733,0.39601430761369444
32,8090,8092,3,0.013948321342468262,0.0034459829330444336,0.3954034350673421
33,8377,8486,110,0.20000404119491577,0.0031208038330078126,0.38882997525627433
34,8575,8582,8,0.07299429178237915,0.037318289279937744,0.3961318886170337
35,8710,8713,4,0.019517838954925537,0.009758919477462769,0.40165251319715406
36,8862,8895,34,0.18540281057357788,0.021474289894104003,0.40467625899280574
37,9186,9497,312,0.13362842798233032,0.00020049329389605606,0.3895556959359865
38,9712,9860,149,0.42200881242752075,0.0002620220184326172,0.3853564547206166
39,10494,10504,11,0.025070667266845703,0.012535333633422852,0.3712517848643503
40,10676,10688,13,0.1970885992050171,0.09854429960250854,0.37421648423613063
41,10834,11008,175,0.21057432889938354,0.00022675673807820966,0.37242256335725316
42,11128,11437,310,0.25368285179138184,0.0001720197346745705,0.36719706242350064
43,11550,11557,8,0.10854876041412354,0.05427438020706177,0.37203668454749955
44,12009,12013,5,0.007838010787963867,0.0018971562385559082,0.3662393873813884
45,12271,12295,25,0.03171497583389282,0.008104801177978516,0.3659726740403383
46,12331,12401,71,0.060067057609558105,0.0017162016459873744,0.3709079180777294
47,12508,12729,222,0.043485820293426514,0.0001543916311840083,0.3692065985860173
48,13592,13594,3,0.3040749430656433,0.09029698371887207,0.35307098197866865
49,13661,13893,233,0.38666266202926636,0.0010241579874760687,0.35267021736001153
50,13958,13982,25,0.4385905861854553,0.012010768055915833,0.35757705785596794
51,14032,14093,62,0.178369402885437,0.003851484168659557,0.3618561089825458
52,14153,14282,130,0.35206520557403564,0.00465270545747545,0.36406917314289716
53,14552,14556,5,0.043723464012145996,0.014574488004048666,0.36408600673215635
54,14980,14986,7,0.4327370524406433,0.09379108746846516,0.3603122706345499
55,15198,15480,283,0.20888227224349976,5.626989447552225e-05,0.3552742070925651
56,15667,15998,332,0.08882874250411987,3.27874743749225e-05,0.35002187636727294
57,16899,16908,10,0.4371161460876465,0.21855807304382324,0.33709858655154057
58,17021,17095,75,0.2290635108947754,0.0018148769934972127,0.33926064576509124
59,17281,17418,138,0.3546363115310669,0.004240233451128006,0.3387106033641426
60,18030,18046,17,0.05806392431259155,0.005018522342046102,0.3324652296780628
