Blink_ID,Start_Frame,End_Frame,Duration,Amplitude,Velocity,Frequency
1,11,15,5,0.0749199390411377,0.0749199390411377,6.25
2,53,56,4,0.21374207735061646,0.07124735911687215,3.508771929824561
3,120,122,3,0.07754439115524292,0.012817561626434326,2.4390243902439024
4,172,232,61,0.03603851795196533,0.000658990563573064,1.7167381974248928
5,246,248,3,0.13679063320159912,0.13679063320159912,2.0080321285140563
6,256,260,5,0.23405253887176514,0.1140366792678833,2.2988505747126435
7,264,276,13,0.3504617214202881,0.1168205738067627,2.527075812274368
8,332,335,4,0.2304065227508545,0.2304065227508545,2.380952380952381
9,357,372,16,0.340265154838562,0.02835542956988017,2.4128686327077746
10,376,397,22,0.24529600143432617,0.0028805269135369193,2.512562814070352
11,454,572,119,0.10412007570266724,0.00030252946320400445,1.9197207678883073
12,581,583,3,0.014437615871429443,0.007218807935714722,2.054794520547945
13,644,685,42,0.2858445644378662,0.0004780292510986328,1.8950437317784257
14,816,986,171,0.3137977719306946,0.0025103821754455568,1.4184397163120568
15,1047,1049,3,0.07624250650405884,0.03812125325202942,1.4285714285714286
16,1053,1058,6,0.07893669605255127,0.019734174013137817,1.5108593012275733
17,1064,1072,9,0.30836427211761475,0.04056587815284729,1.5843429636533086
18,1099,1101,3,0.007559776306152344,0.00011992454528808594,1.6333938294010888
19,1208,1224,17,0.05506336688995361,0.00500576062635942,1.5510204081632653
20,1329,1338,10,0.11453527212142944,0.03817842404047648,1.4936519790888723
21,1343,1345,3,0.03454244136810303,0.025112152099609375,1.5601783060921248
22,1352,1354,3,0.04073065519332886,0.04073065519332886,1.6236162361623614
23,1375,1378,4,0.1958857774734497,0.1958857774734497,1.6678752719361856
24,1400,1410,11,0.20592081546783447,0.02941725935254778,1.700921332388377
25,1459,1462,4,0.20719397068023682,0.10359698534011841,1.7088174982911826
26,1540,1572,33,0.17900842428207397,0.01988982492023044,1.6528925619834711
27,1619,1621,3,0.1539342999458313,0.027696311473846436,1.6646115906288532
28,1632,1634,3,0.03067415952682495,0.015337079763412476,1.7125382262996942
29,1716,1718,3,0.017486214637756348,0.017217159271240234,1.6870273414776031
30,1738,1745,8,0.1915125846862793,0.06383752822875977,1.718213058419244
31,1794,1809,16,0.42024487257003784,0.21012243628501892,1.7127071823204418
32,1832,1860,29,0.30580270290374756,0.03293229639530182,1.7195056421278883
33,1864,1869,6,0.22910821437835693,0.02036648988723755,1.7647058823529411
