Blink_ID,Start_Frame,End_Frame,Duration,Amplitude,Velocity,Frequency
1,77,84,8,0.19876337051391602,0.09938168525695801,1.1764705882352942
2,130,133,4,0.33313608169555664,0.16656804084777832,1.4925373134328357
3,492,498,7,0.20037978887557983,0.05009494721889496,0.6012024048096193
4,646,655,10,0.25399404764175415,0.0,0.6097560975609756
5,1018,1020,3,0.34520223736763,0.24510931968688965,0.4897159647404506
6,1210,1214,5,0.20306658744812012,0.05076664686203003,0.49382716049382713
7,1631,1638,8,0.11613774299621582,0.03871258099873861,0.4270896888346553
8,2007,2010,4,0.2267497181892395,0.1341734528541565,0.39781203381402286
9,2147,2158,12,0.11245280504226685,0.031899452209472656,0.41685965724872626
10,2817,2821,5,0.27763646841049194,0.10171467065811157,0.3543586109142452
11,3174,3177,4,0.1489521861076355,0.1489521861076355,0.34612964128382634
12,3862,3865,4,0.1268441081047058,0.0634220540523529,0.3103983445421624
13,3926,3940,15,0.11891162395477295,0.014168109212602888,0.3298655163664045
14,4113,4116,4,0.10079514980316162,0.03359838326772054,0.3400534369686665
15,4506,4508,3,0.1466001272201538,0.0733000636100769,0.332667997338656
16,4755,4757,3,0.05790060758590698,0.02895030379295349,0.33627574611181166
17,4909,4918,10,0.16279637813568115,0.04069909453392029,0.34559869892254524
18,5012,5016,5,0.20453399419784546,0.015092015266418457,0.35878014749850506
19,5393,5401,9,0.10101526975631714,0.013027012348175049,0.35172158459829694
20,5697,5706,10,0.09054917097091675,0.022637292742729187,0.35044681969511127
21,5877,5885,9,0.24220919609069824,0.04036819934844971,0.3567787971457696
22,5975,5981,7,0.42280247807502747,0.10570061951875687,0.36776997659645605
23,6102,6105,4,0.03402000665664673,0.017010003328323364,0.37667867671143135
24,6541,6545,5,0.1014941930770874,0.0507470965385437,0.36663611365719523
25,6921,6931,11,0.030708491802215576,0.006141698360443116,0.36064627813040967
26,7007,7012,6,0.07074630260467529,0.035373151302337646,0.3707400541850848
27,7040,7047,8,0.2905213236808777,0.013832370440165201,0.38308740068104424
28,7131,7134,4,0.16884905099868774,0.022969841957092285,0.3924316748423266
29,7614,7617,4,0.0679243803024292,0.0679243803024292,0.380677343134681
30,7800,7806,7,0.13083815574645996,0.06541907787322998,0.38427052645062126
31,7956,7963,8,0.2762221097946167,0.05524442195892334,0.389251632345555
32,8025,8033,9,0.24139291048049927,0.04023215174674988,0.3983071944236993
33,8066,8075,10,0.41828176379203796,0.13942725459734598,0.40861812778603274
34,8181,8186,6,0.2500406503677368,0.06868255138397217,0.4152925369488213
35,8208,8216,9,0.12261557579040527,0.03065389394760132,0.4259462090787392
36,8281,8288,8,0.08134925365447998,0.016269850730895995,0.43431053203040176
37,8326,8330,5,0.28708070516586304,0.029474109411239624,0.4441243548193494
38,8373,8389,17,0.1629164218902588,0.014810583808205345,0.45292014302741357
39,8436,8444,9,0.1451648473739624,0.03110818068186442,0.4618117229129663
40,8486,8495,10,0.24448555707931519,0.08149518569310506,0.4708097928436911
41,8524,8539,16,0.3858829736709595,0.032156914472579956,0.48009367681498827
42,8553,8561,9,0.12304049730300903,0.011740148067474365,0.4905395935529082
43,8672,8676,5,0.3120797872543335,0.050833284854888916,0.49556298259767195
44,8727,8729,3,0.07090204954147339,0.035451024770736694,0.5040091638029782
45,8746,8753,8,0.10562306642532349,0.012014567852020264,0.5140507196710076
46,8856,8858,3,0.07872915267944336,0.07872915267944336,0.519245964555819
47,8908,8913,6,0.3605521023273468,0.07211042046546937,0.527260489118241
48,8925,8929,5,0.1328822374343872,0.0,0.5375139977603584
49,9006,9013,8,0.3367289900779724,0.0841822475194931,0.5435988462391835
50,9057,9064,8,0.12598872184753418,0.04354637861251831,0.5515719801434087
51,9188,9191,4,0.06046319007873535,0.04987293481826782,0.5548302872062663
52,9238,9244,7,0.07213717699050903,0.01803429424762726,0.562466197944835
53,9262,9272,11,0.09915351867675781,0.09915351867675781,0.5715518171034185
54,9277,9289,13,0.1908082365989685,0.017346203327178955,0.581270182992465
55,9377,9385,9,0.08062684535980225,0.02015671133995056,0.5859791178350735
56,9451,9456,6,0.34320884943008423,0.046046897768974304,0.5921539600296076
57,9502,9504,3,0.1478182077407837,0.1478182077407837,0.5996843766438716
58,9570,9575,6,0.09245383739471436,0.014571925004323324,0.6056808688387636
59,9632,9637,6,0.2899354100227356,0.08410523335138957,0.6121601992114547
60,9718,9721,4,0.20499342679977417,0.10249671339988708,0.6171569635877392
61,9740,9752,13,0.0738983154296875,0.018474578857421875,0.6254485799241258
62,9832,9848,17,0.33635079860687256,0.05722974240779877,0.6295055335567062
63,9890,9895,6,0.16850394010543823,0.05616798003514608,0.6366208569118836
64,10038,10044,7,0.28861087560653687,0.09369464715321858,0.6371329019412643
65,10092,10095,4,0.29729312658309937,0.21815961599349976,0.6438193343898574
66,10203,10207,5,0.2590920925140381,0.12954604625701904,0.646551724137931
67,10287,10293,7,0.3284292221069336,0.15619167685508728,0.6508645813095006
68,10325,10338,14,0.056426167488098145,0.009404361248016357,0.6577038398297708
69,10464,10468,5,0.09981250762939453,0.049906253814697266,0.6590887381793867
70,10557,10560,4,0.07367116212844849,0.07367116212844849,0.6628160212101126
71,10584,10594,11,0.2030876874923706,0.025385960936546326,0.6701274185936763
72,10666,10669,4,0.1985272765159607,0.0,0.6747891283973758
73,10733,10743,11,0.16813349723815918,0.05604449907938639,0.6794489947877885
74,10853,10858,6,0.09465640783309937,0.018931281566619874,0.6814623814347546
