Blink_ID,Start_Frame,End_Frame,Duration,Amplitude,Velocity,Frequency
1,18,22,5,0.04186779260635376,0.0032978256543477378,4.3478260869565215
2,59,61,3,0.00899970531463623,0.0,3.225806451612903
3,144,147,4,0.04158365726470947,0.01386121908823649,2.027027027027027
4,210,212,3,0.005726814270019531,0.0028634071350097656,1.8779342723004695
5,408,411,4,0.19098621606826782,0.19098621606826782,1.2135922330097086
6,488,491,4,0.009472131729125977,0.0011894702911376953,1.2195121951219512
7,662,665,4,0.16466110944747925,0.08233055472373962,1.0510510510510511
8,770,773,4,0.017890751361846924,0.017890751361846924,1.03359173126615
9,793,795,3,0.08071112632751465,0.08071112632751465,1.1306532663316584
10,829,831,3,0.004541218280792236,0.004541218280792236,1.201923076923077
11,871,874,4,0.25580769777297974,0.12790384888648987,1.2571428571428571
12,936,939,4,0.045157670974731445,0.045157670974731445,1.276595744680851
13,975,977,3,0.30311572551727295,0.0,1.329243353783231
14,1127,1129,3,0.016986191272735596,0.0015712976455688477,1.238938053097345
15,1151,1154,4,0.005116522312164307,0.0017055074373881023,1.2987012987012987
16,1232,1234,3,0.0074710845947265625,0.0074710845947265625,1.2955465587044535
17,1430,1433,4,0.07722598314285278,0.07722598314285278,1.1854951185495117
18,1522,1524,3,0.010487973690032959,0.008884966373443604,1.180327868852459
19,1594,1598,5,0.01768416166305542,0.00884208083152771,1.188242651657286
20,1623,1625,3,0.12644076347351074,0.12644076347351074,1.2300123001230012
21,1644,1646,3,0.09341251850128174,0.09341251850128174,1.2750455373406193
22,1743,1747,5,0.04916715621948242,0.039638400077819824,1.2585812356979404
23,1836,1842,7,0.06446945667266846,0.004190593957901001,1.2479652740097666
24,1848,1851,4,0.05530613660812378,0.019398540258407593,1.2958963282937366
25,1856,1861,6,0.06396311521530151,0.0006488263607025146,1.342642320085929
26,2136,2138,3,0.13709622621536255,0.06854811310768127,1.2155212716222534
27,2161,2164,4,0.022170305252075195,0.011085152626037598,1.2471131639722863
28,2183,2185,3,0.004306018352508545,0.0025365352630615234,1.2808783165599267
29,2281,2284,4,0.16242128610610962,0.08121064305305481,1.2691466083150984
30,2398,2401,4,0.282745361328125,0.013301223516464233,1.2489592006661114
31,2473,2476,4,0.12006676197052002,0.12006676197052002,1.2515139281388776
32,2554,2556,3,0.003059983253479004,0.0,1.2514665623777863
33,2599,2601,3,0.21092301607131958,0.10546150803565979,1.2682551883166795
34,2763,2774,12,0.05075186491012573,0.004613805900920521,1.2252252252252251
35,2811,2815,5,0.26856231689453125,0.26856231689453125,1.2428977272727273
36,2866,2868,3,0.021059274673461914,0.010529637336730957,1.2547926106657372
37,2883,2885,3,0.12054240703582764,0.06027120351791382,1.282051282051282
38,3027,3030,4,0.3850979804992676,0.1925489902496338,1.2537116463213462
39,3090,3092,3,0.0033002495765686035,0.0,1.2609117361784674
40,3278,3280,3,0.014282405376434326,0.004483699798583984,1.21914050594331
41,3344,3347,4,0.02680116891860962,0.02680116891860962,1.2246117084826762
42,3492,3494,3,0.01665174961090088,0.01665174961090088,1.201716738197425
43,3569,3572,4,0.05549865961074829,0.027749329805374146,1.2034704729918835
44,3722,3767,46,0.19429033994674683,0.009524184465408325,1.167728237791932
45,3890,3894,5,0.017230987548828125,0.017230987548828125,1.1553273427471118
46,3981,3984,4,0.20722103118896484,0.0677541196346283,1.1543287327478042
47,4038,4043,6,0.025634944438934326,0.025634944438934326,1.162215628090999
48,4200,4202,3,0.009078621864318848,0.009078621864318848,1.1420413990007139
49,4380,4383,4,0.051496267318725586,0.051496267318725586,1.1177007299270074
50,4496,4498,3,0.05025970935821533,0.025129854679107666,1.1113580795732385
51,4663,4665,3,0.00853121280670166,0.0,1.093013287612516
52,4696,4698,3,0.009389042854309082,0.009389042854309082,1.1066184294530752
53,4745,4747,3,0.10925859212875366,0.10925859212875366,1.1162594776748105
54,4782,4785,4,0.017118632793426514,0.0035148262977600098,1.1282908483075638
55,4845,4850,6,0.15596729516983032,0.031193459033966066,1.1337868480725624
56,4998,5001,4,0.26839739084243774,0.26839739084243774,1.1195521791283487
57,5077,5080,4,0.06205374002456665,0.06205374002456665,1.1218264121235977
58,5148,5151,4,0.0365481972694397,0.01827409863471985,1.125776397515528
59,5343,5347,5,0.04580891132354736,0.04580891132354736,1.1032161555721767
60,5391,5393,3,0.009959220886230469,0.0,1.1123470522803114
61,5423,5426,4,0.06087541580200195,0.06087541580200195,1.1240095817210245
62,5500,5502,3,0.004995286464691162,0.002497643232345581,1.126658186443758
63,5620,5622,3,0.048477351665496826,0.048477351665496826,1.1203983638627066
64,5645,5648,4,0.005524098873138428,0.0018413662910461426,1.1329438838732517
65,5684,5686,3,0.348236083984375,0.348236083984375,1.1429576226481448
66,5825,5828,4,0.03338700532913208,0.03338700532913208,1.1322696860524961
67,5958,5961,4,0.00957554578781128,0.00957554578781128,1.1237839651123784
68,6019,6021,3,0.020081937313079834,0.020081937313079834,1.129192959149784
69,6192,6195,4,0.0322948694229126,0.007590651512145996,1.1136216914138153
70,6295,6298,4,0.04370570182800293,0.04370570182800293,1.111287505953326
71,6564,6566,3,0.005888879299163818,0.0,1.0811633927211817
