Blink_ID,Start_Frame,End_Frame,Duration,Amplitude,Velocity,Frequency
1,220,223,4,0.4153565764427185,0.20767828822135925,0.4464285714285714
2,298,301,4,0.23702490329742432,7.635354995727539e-05,0.6622516556291391
3,355,357,3,0.05985981225967407,0.005506992340087891,0.8379888268156425
4,479,481,3,0.013709783554077148,0.013709783554077148,0.8298755186721992
5,488,493,6,0.013773441314697266,0.002909501393636068,1.0121457489878543
6,572,575,4,0.22330474853515625,0.11165237426757812,1.0416666666666665
7,1142,1153,12,0.004082441329956055,0.00040824413299560546,0.6065857885615251
8,1165,1171,7,0.004842221736907959,0.0009684443473815918,0.6825938566552902
9,1175,1179,5,0.012243211269378662,0.004081070423126221,0.7627118644067797
10,1191,1194,4,0.00970369577407837,0.004851847887039185,0.8368200836820083
11,1236,1241,6,0.010152816772460938,0.010152816772460938,0.8856682769726247
12,1268,1273,6,0.05048322677612305,0.012620806694030762,0.9419152276295133
13,1288,1291,4,0.21134400367736816,0.21134400367736816,1.0061919504643964
14,1410,1412,3,0.01697099208831787,0.01697099208831787,0.9907997169143666
15,1489,1494,6,0.14468485116958618,0.028936970233917236,1.0033444816053512
16,1788,1790,3,0.0014951825141906738,0.0014951825141906738,0.893355667225014
17,1925,1939,15,0.01573359966278076,0.005244533220926921,0.8762886597938144
18,2352,2356,5,0.049735188484191895,0.012433797121047974,0.7636826474331778
19,2411,2414,4,0.005517363548278809,0.0018647611141204834,0.7867494824016562
20,2451,2454,4,0.012829363346099854,0.012829363346099854,0.8146639511201629
21,2493,2497,5,0.12640953063964844,0.04213651021321615,0.8406725380304243
22,2535,2541,7,0.01292884349822998,0.002585768699645996,0.865460267505901
23,2562,2566,5,0.09583687782287598,0.023959219455718994,0.8959875340864824
24,2590,2595,6,0.19217067956924438,0.06405689318974812,0.9244992295839755
25,2604,2612,9,0.016666114330291748,0.0020832642912864685,0.9567546880979716
26,2656,2660,5,0.01140296459197998,0.01140296459197998,0.977076287110109
27,2701,2704,4,0.024409592151641846,0.012204796075820923,0.9981515711645103
28,2743,2746,4,0.097378671169281,0.0486893355846405,1.0192937750273026
29,2797,2808,12,0.02283930778503418,0.019498348236083984,1.0323958704165184
30,2880,2883,4,0.03101980686187744,0.03101980686187744,1.0402219140083218
31,2919,2922,4,0.04310840368270874,0.014369467894236246,1.0605542251111872
32,3018,3022,5,0.040538251399993896,0.020269125699996948,1.0585511081706915
33,3048,3051,4,0.002095341682434082,0.002095341682434082,1.0812581913499346
34,3077,3080,4,0.00043278932571411133,0.0,1.103537812398572
35,3145,3149,5,0.037819087505340576,0.018909543752670288,1.1111111111111112
36,3297,3305,9,0.3432227373123169,0.005363836884498596,1.0889292196007259
37,3449,3510,62,0.2638561725616455,0.001746099442243576,1.0538308174309314
38,3526,3531,6,0.32664644718170166,0.006449103355407715,1.0758776896942241
39,3633,3636,4,0.0276336669921875,0.01381683349609375,1.0723123453395655
40,3715,3717,3,0.011948704719543457,0.0059743523597717285,1.0758472296933834
41,3777,3781,5,0.19600635766983032,0.04900158941745758,1.0840824960338444
42,3835,3843,9,0.020099937915802002,0.010049968957901001,1.09261186264308
43,3868,3870,3,0.026710450649261475,0.009420275688171387,1.1108240764660295
44,3883,3886,4,0.16483867168426514,0.0021896958351135254,1.1319783895034732
45,3902,3905,4,0.009324789047241211,0.0046623945236206055,1.1520737327188941
46,3929,3932,4,0.0049926042556762695,0.0049926042556762695,1.1695906432748537
47,4137,4139,3,0.025660276412963867,0.012830138206481934,1.1352657004830917
48,4296,4299,4,0.33023422956466675,0.16511711478233337,1.1162790697674418
49,4348,4355,8,0.01712965965270996,0.0052240292231241865,1.1248852157943068
50,4748,4755,8,0.061031222343444824,0.006133317947387695,1.0513036164844407
51,4826,4830,5,0.01986449956893921,0.006621499856313069,1.0556820534050921
52,4920,4922,3,0.04299771785736084,0.0,1.0562665041641277
53,5237,5239,3,0.0246543288230896,0.0246543288230896,1.0114503816793894
