Blink_ID,Start_Frame,End_Frame,Duration,Amplitude,Velocity,Frequency
1,20,22,3,0.20667827129364014,0.20667827129364014,4.3478260869565215
2,516,519,4,0.11002582311630249,0.11002582311630249,0.38461538461538464
3,1160,1162,3,0.3240673542022705,0.3240673542022705,0.2579535683576956
4,1207,1209,3,0.005617082118988037,0.004045426845550537,0.3305785123966942
5,1251,1253,3,0.19631147384643555,0.19631147384643555,0.3987240829346092
6,1605,1608,4,0.051164984703063965,0.0013871192932128906,0.3729024238657551
7,1649,1652,4,0.015983641147613525,0.007991820573806763,0.42347247428917123
8,1668,1671,4,0.14898067712783813,0.02119988203048706,0.4784688995215311
9,1724,1726,3,0.013584494590759277,0.0,0.5211349160393747
10,1944,1946,3,0.02656233310699463,0.02656233310699463,0.5136106831022085
11,2010,2042,33,0.34824424982070923,0.010198434193929037,0.5384238864415075
12,2641,2643,3,0.1416008472442627,0.1416008472442627,0.45385779122541603
13,2767,2770,4,0.2687017321586609,0.009192943572998047,0.46914471309996386
14,2867,2869,3,0.005309581756591797,0.004412055015563965,0.4878048780487805
15,3147,3151,5,0.23584610223770142,0.11792305111885071,0.4758883248730965
16,3205,3210,6,0.23440754413604736,0.0,0.49828713796325136
17,3567,3572,6,0.2024971842765808,0.0506242960691452,0.4757906521130702
18,3748,3752,5,0.021259546279907227,0.010629773139953613,0.4796163069544364
19,4082,4086,5,0.014416992664337158,0.00480566422144572,0.4648886713971128
20,4551,4553,3,0.13290292024612427,0.13290292024612427,0.4391743522178305
21,4617,4619,3,0.01648658514022827,0.008243292570114136,0.45454545454545453
22,5224,5226,3,0.11681920289993286,0.0,0.42089152477520564
23,5337,5340,4,0.02140510082244873,0.010702550411224365,0.4306309679835237
24,5352,5354,3,0.0023250579833984375,0.0,0.44817927170868344
25,5585,5588,4,0.05114564299583435,0.0,0.4473072105922347
26,6146,6149,4,0.02829223871231079,0.00843876600265503,0.42276422764227645
27,6449,6451,3,0.027276337146759033,0.017454147338867188,0.4184748915065096
28,6877,6880,4,0.33720076084136963,0.009408354759216309,0.40691759918616477
29,6889,6892,4,0.11692178249359131,0.11692178249359131,0.4207166690845786
30,7529,7541,13,0.028534114360809326,0.0023778428634007773,0.3977724741447892
31,7550,7563,14,0.3527820408344269,0.033682823181152344,0.4098360655737705
