Blink_ID,Start_Frame,End_Frame,Duration,Amplitude,Velocity,Frequency
1,261,265,5,0.010202467441558838,0.010202467441558838,0.37593984962406013
2,277,285,9,0.014092803001403809,0.0017404913902282714,0.6993006993006993
3,766,772,7,0.07320982217788696,0.07320982217788696,0.38809831824062097
4,790,795,6,0.23216354846954346,0.05141925811767578,0.5025125628140703
5,843,846,4,0.018666625022888184,0.018666625022888184,0.5903187721369539
6,963,967,5,0.015299797058105469,0.007649898529052734,0.6198347107438017
7,1096,1104,9,0.04330730438232422,0.014435768127441406,0.6334841628959276
8,1225,1233,9,0.012569904327392578,0.0017957006181989396,0.6482982171799028
9,1333,1337,5,0.01127082109451294,0.003011763095855713,0.672645739910314
10,1435,1439,5,0.04070425033569336,0.01356808344523112,0.6944444444444444
11,1606,1608,3,0.04955911636352539,0.04955911636352539,0.6836544437538844
12,1623,1627,5,0.2892327308654785,0.2892327308654785,0.7371007371007371
13,1690,1699,10,0.10795336961746216,0.10795336961746216,0.7647058823529412
14,1812,1820,9,0.08798617124557495,0.01759723424911499,0.7688083470620538
15,1913,1920,8,0.013770461082458496,0.0,0.7808433107756376
16,1969,1984,16,0.06416177749633789,0.06416177749633789,0.8060453400503778
17,2096,2103,8,0.013307571411132812,0.0044358571370442705,0.8079847908745247
18,2897,2901,5,0.008336007595062256,0.002084001898765564,0.6202618883528601
19,2943,2947,5,0.29736703634262085,0.14868351817131042,0.644504748982361
20,3135,3138,4,0.012297570705413818,0.0040991902351379395,0.6371455877668047
21,3504,3508,5,0.3204374313354492,0.0032388269901275635,0.5984611000284981
22,3625,3633,9,0.014107286930084229,0.01203000545501709,0.6053935057787562
23,3856,3860,5,0.14417070150375366,0.007921576499938965,0.5957005957005956
24,4093,4107,15,0.12666738033294678,0.0016207396984100342,0.5842259006815969
25,4269,4277,9,0.06190323829650879,0.06190323829650879,0.584385226741468
26,4364,4381,18,0.07093900442123413,0.007882111602359347,0.5933363760839799
27,4442,4445,4,0.00966733694076538,0.00966733694076538,0.6072874493927125
28,4888,4898,11,0.015288114547729492,0.0030576229095458985,0.5715452133088386
29,4950,4957,8,0.0444071888923645,0.002105534076690674,0.5849132714804356
30,5094,5099,6,0.19706404209136963,0.04926601052284241,0.5882352941176471
31,5313,5331,19,0.026590049266815186,0.0037985784666878836,0.5813953488372093
32,5372,5375,4,0.028617680072784424,0.0,0.5952380952380952
33,5644,5647,4,0.02415865659713745,0.00805288553237915,0.5842776203966006
34,6018,6021,4,0.026349902153015137,0.026349902153015137,0.564596479574892
35,6345,6360,16,0.0067787766456604,0.00135575532913208,0.5502279515799403
36,6384,6389,6,0.023009061813354492,0.011504530906677246,0.5633802816901409
37,6511,6519,9,0.010997354984283447,0.007180631160736084,0.5674846625766872
38,6663,6666,4,0.0458715558052063,0.0458715558052063,0.5699715014249288
39,7608,7613,6,0.010815322399139404,0.000637441873550415,0.512214342001576
40,7703,7710,8,0.051576972007751465,0.025788486003875732,0.5187394631046557
41,7717,7723,7,0.031222939491271973,0.031222939491271973,0.5308130502330399
42,7860,7865,6,0.046724796295166016,0.025800049304962158,0.5339435545385203
43,8472,8483,12,0.2921074628829956,0.1460537314414978,0.5068363979255068
44,9085,9088,4,0.027350127696990967,0.027350127696990967,0.48410166134888327
45,9360,9369,10,0.22263336181640625,0.037105560302734375,0.48025613660619
46,9571,9584,14,0.39326217770576477,0.19663108885288239,0.4799165362545644
47,9680,9685,6,0.07563453912734985,0.018908634781837463,0.48523642370431547
48,9840,9844,5,0.0661657452583313,0.0661657452583313,0.4875571356018283
49,10026,10030,5,0.10048258304595947,0.10048258304595947,0.48848569434752265
50,10079,10082,4,0.023449599742889404,0.011724799871444702,0.49588416145988296
